Line 104: type='character', name='Monitor Lizard', _id='WKECLp79ZX9qJBfj' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 105: type='character', name='Giant Tortoise', _id='WWvyAQegGOEpuCPR' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 106: type='character', name='Yak', _id='WaVqKqg2LZmx4E4j' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 107: type='character', name='Hunting Cactus', _id='Wv0hIFwivWkrXzHr' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 108: type='character', name='Yzobu', _id='XNjSU29XWrE5zilV' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 109: type='character', name='Dolphin', _id='Yomd2AXxhVDCA7Gt' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 110: type='character', name='Kentrosaurus (Dinosaur)', _id='ZASRnNi2e5NkCIVI' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 111: type='character', name='Marsupial Lion', _id='ZCXR2WXwSx8TobXp' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 112: type='character', name='Amargasaurus (Dinosaur)', _id='ZGrMZUFkuuNQPgOA' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 113: type='character', name='Bustard', _id='ZI6eSrnoU7nVouZB' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 114: type='character', name='Shark', _id='ZcKjmX4xmDfX8a6y' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 115: type='character', name='Mindspin Ram', _id='ZeZLz42D8X7TGav5' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 116: type='character', name='Bristle Boar', _id='ZhPF4ggvagX0BDHS' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 117: type='character', name='Gar', _id='a9B0UR4myZmrtlSb' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 118: type='character', name='Giant Gecko', _id='aHfP56crgkaC3Q4v' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 119: type='character', name='Titanoboa (Megafauna)', _id='adhh9DRTrnHVuIJN' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 120: type='character', name='Giant Frog', _id='bNIiEyV8Gcd06vwN' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 121: type='character', name='Elasmosaurus', _id='bQi20ksMuDEmBTJw' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 122: type='character', name='Mokele-Mbembe', _id='bW2RwgmZi8zFWKzV' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 123: type='character', name='Dallo', _id='beYcNfFbtSdzV1o3' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 124: type='character', name='Troodon (Dinosaur)', _id='byKGK3jX24fGISOs' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 125: type='character', name='Lion', _id='c6I0beEzthQEejcu' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 126: type='character', name='Giant Raven', _id='cCkP6ky7x4DGLG44' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 127: type='npc', name='Grizzly Bear', _id='cFH0N5Id0s4HqlN7' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 128: type='character', name='Manta Ray', _id='cIqnkDfz4AQAuWmf' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
